panel,script,purpose,shared_logic,specific_parameters,main_outputs
Figure5A,R/figure5A_B_S12A_B_shm_groups.R,Ranked average VDJ mutation rate in DZ spots,Compute spot-level average VDJ mutation rate then rank descending,"High_Mutation >0.05; Low_Mutation >0 and <=0.05; No_Mutation <=0 or missing",figure5A_Tonsil2_shm_ranked.pdf
Figure5B,R/figure5A_B_S12A_B_shm_groups.R,Spatial distribution of SHM groups,SpatialDimPlot over SHM_VDJ labels,Main sample Tonsil2 focus region from figure5_inputs.csv,figure5B_Tonsil2_shm_spatial.pdf
Figure5C,R/figure5C_D_S11_S12C_D_shm_gene_programs.R,ROC/AUC ranking of SHM-associated genes,Seurat FindAllMarkers with test.use='roc',Genes and functional groups in config/shm_gene_sets.csv,figure5C_Tonsil2_shm_gene_auc.pdf
Figure5D,R/figure5C_D_S11_S12C_D_shm_gene_programs.R,Dotplot of SHM-associated genes across mutation groups,Seurat DotPlot with SHM_VDJ groups,Genes and functional groups in config/shm_gene_sets.csv,figure5D_Tonsil2_shm_gene_dotplot.pdf
Figure5E,R/figure5E_F_S12E_F_module_correlations.R,SHM rate versus High-SHM gene module score,AddModuleScore plus Spearman/lm display,High_Mutation gene set from config/shm_gene_sets.csv,figure5E_Tonsil2_high_module_correlation.pdf
Figure5F,R/figure5E_F_S12E_F_module_correlations.R,SHM rate versus Low-SHM gene module score,AddModuleScore plus Spearman/lm display,Low_Mutation gene set from config/shm_gene_sets.csv,figure5F_Tonsil2_low_module_correlation.pdf
Figure5G,R/figure5G_I_S12G_I_celltype_trends.R,B-cell abundance trends across SHM groups,cell2location q05 abundance converted to per-spot percentages,No/Low/High mutation groups; Wilcoxon significance,figure5G_Tonsil2_b_cell_trend.pdf
Figure5H,R/figure5G_I_S12G_I_celltype_trends.R,T-cell abundance trends across SHM groups,cell2location q05 abundance converted to per-spot percentages,No/Low/High mutation groups; Wilcoxon significance,figure5H_Tonsil2_t_cell_trend.pdf
Figure5I,R/figure5G_I_S12G_I_celltype_trends.R,Other-cell abundance trends across SHM groups,cell2location q05 abundance converted to per-spot percentages,No/Low/High mutation groups; Wilcoxon significance,figure5I_Tonsil2_other_cell_trend.pdf
Figure5J,R/figure5J_N_experimental_validation.R,Experimental workflow schematic,ggplot schematic assembled from config steps,Lentiviral KD/control prep culture sequencing and RT-PCR validation,figure5J_experimental_workflow.pdf
Figure5K,R/figure5J_N_experimental_validation.R,SHM frequency after gene perturbation,Validation SHM table violin plot,KD versus control per target gene,figure5K_shm_frequency_validation.pdf
Figure5L_N,R/figure5J_N_experimental_validation.R,RT-PCR validation of AICDA BCL6 and MSH6,Validation qPCR table plots,KD versus control; target genes and assayed transcripts in input table,figure5L_N_qpcr_validation.pdf
Figure5O,R/figure5O_R_S12J_L_clonotype_norm_diversity.R,IGH normalized Shannon diversity by SHM group,Clonotype diversity divided by B-cell abundance,Shannon_norm only,figure5O_Tonsil2_IGH_shannon_norm.pdf
Figure5P,R/figure5O_R_S12J_L_clonotype_norm_diversity.R,IGH mean Levenshtein distance by SHM group,Mean pairwise Levenshtein distance across clonotypes,Distance metric remains raw scale,figure5P_Tonsil2_IGH_levenshtein.pdf
Figure5Q,R/figure5O_R_S12J_L_clonotype_norm_diversity.R,TRB normalized Shannon diversity by SHM group,Clonotype diversity divided by T-cell abundance,Shannon_norm only,figure5Q_Tonsil2_TRB_shannon_norm.pdf
Figure5R,R/figure5O_R_S12J_L_clonotype_norm_diversity.R,IGH C-gene relative abundance by SHM group,Unique UMI count per C gene and SHM group,Line plot with Wilcoxon stars,figure5R_Tonsil2_cgene_trend.pdf
FigureS11A,R/figure5C_D_S11_S12C_D_shm_gene_programs.R,SHM-associated gene expression across cell types,DotPlot over cell2location-derived cell-type labels,Genes in config/shm_gene_sets.csv,figureS11A_Tonsil2_shm_gene_celltype_dotplot.pdf
FigureS12A_L,R/figure5A_B_S12A_B_shm_groups.R;R/figure5C_D_S11_S12C_D_shm_gene_programs.R;R/figure5E_F_S12E_F_module_correlations.R;R/figure5G_I_S12G_I_celltype_trends.R;R/figure5O_R_S12J_L_clonotype_norm_diversity.R,LN2 supplementary SHM panels,Reuse Figure5 functions with LN2 sample row,LN2 uses Low/High mutation groups where No_Mutation is absent or not plotted,figureS12_outputs
