panel,script,purpose,shared_logic,specific_parameters,main_outputs
Figure4A,R/figure4A_D_gc_maturity_annotation.R,Spatial map of germinal-center parts in Tonsil2,SpatialDimPlot over GC part annotations,Primary sample Tonsil2 GC labels,figure4A_Tonsil2_gc_spatial.pdf
Figure4B,R/figure4B_C_G_H_I_J_K_L_clonotype_maturity.R,IGH clone detection across GC sites,Clone-level GC-site count and total UMI classification,"Private=num_GC_sites==1; Shared=num_GC_sites>1; Expanded=total_UMI above sample 95th percentile; A/B/C/D definitions in config/clone_class_parameters.csv",figure4B_Tonsil2_clone_detection.pdf
Figure4C,R/figure4B_C_G_H_I_J_K_L_clonotype_maturity.R,SHM frequency by clone class,Mutation-rate violin plot grouped by A-D clone class,"Uses Figure4B A-D class definitions and IGH expanded alignment table",figure4C_Tonsil2_shm_by_class.pdf
Figure4D,R/figure4A_D_gc_maturity_annotation.R,GC maturity marker dotplot,EarlyGC and LateGC module scores across GC parts,"Early markers CD83 CD86 CXCR5 GPR183 SLAMF1 BCL6; Late markers IRF4 PRDM1 XBP1 ZBTB20 FOXP3 DUSP2 IRF8 GADD45B JCHAIN TOX2 SDC1; nbin=10",figure4D_Tonsil2_maturity_dotplot.pdf
Figure4E,R/figure4E_F_S8D_E_wgcna_go.R,GO enrichment across GC maturity,GO dotplot from curated or computed enrichment table,"hdWGCNA and GO parameters in config/hdwgcna_go_parameters.csv; curated manuscript GO terms only",figure4E_Tonsil2_go_maturity.pdf
Figure4F,R/figure4E_F_S8D_E_wgcna_go.R,UMAP of GC maturity states,Seurat UMAP colored by EarlyGC and LateGC,Primary sample filtered object,figure4F_Tonsil2_maturity_umap.pdf
Figure4G,R/figure4B_C_G_H_I_J_K_L_clonotype_maturity.R,IGH and TRB normalized Shannon diversity by GC maturity,Spot-level clonotype diversity normalized by B or T abundance,"IGH diversity normalized by B_total; TRB diversity normalized by T_total; raw diversity panels are intentionally not duplicated",figure4G_Tonsil2_diversity_norm.pdf
Figure4H,R/figure4B_C_G_H_I_J_K_L_clonotype_maturity.R,IGH clonal cumulative-frequency curve,Clone UMI frequency CDF by GC maturity,Primary sample IGH assay,figure4H_Tonsil2_igh_cumulative_frequency.pdf
Figure4I,R/figure4B_C_G_H_I_J_K_L_clonotype_maturity.R,IGH clonotype relative UMI composition,Top LateGC clones highlighted against remaining clones,Primary sample IGH assay,figure4I_Tonsil2_igh_clone_composition.pdf
Figure4J,R/figure4B_C_G_H_I_J_K_L_clonotype_maturity.R,SHM frequency by GC maturity,Mutation-rate violin plot grouped by EarlyGC and LateGC,Primary sample IGH expanded alignment table,figure4J_Tonsil2_shm_by_maturity.pdf
Figure4K,R/figure4B_C_G_H_I_J_K_L_clonotype_maturity.R,IGH and TRB class trend across GC maturity,Class percentage line plots with significance marks,Primary sample IGH/TRB clone classes,figure4K_Tonsil2_class_trends.pdf
Figure4L,R/figure4B_C_G_H_I_J_K_L_clonotype_maturity.R,IGH C-gene relative abundance trend,Best C-gene percentage line plot with significance marks,Primary sample IGH expanded alignment table,figure4L_Tonsil2_cgene_trend.pdf
Figure4M,R/figure4M_N_O_celltype_trends.R,B-cell abundance trend across GC maturity,Cell-type abundance line plot with significance marks,B-cell cell2location columns,figure4M_Tonsil2_b_cell_trend.pdf
Figure4N,R/figure4M_N_O_celltype_trends.R,T-cell abundance trend across GC maturity,Cell-type abundance line plot with significance marks,T-cell cell2location columns,figure4N_Tonsil2_t_cell_trend.pdf
Figure4O,R/figure4M_N_O_celltype_trends.R,Other immune/stromal abundance trend across GC maturity,Cell-type abundance line plot with significance marks,Non-B non-T cell2location columns,figure4O_Tonsil2_other_cell_trend.pdf
FigureS8A_B,R/figureS8_supplement.R,C-gene and clone-class composition per GC part,Reuse GC-part bar helpers,Supplementary sample GC parts,figureS8A_B_outputs
FigureS8C_D,R/figureS8_supplement.R,GC maturity score and WGCNA module spatial plots,Reuse maturity dotplot and module feature helpers,Supplementary sample module list,figureS8C_D_outputs
FigureS8E,R/figureS8_supplement.R,GO enrichment of hub genes,Reuse WGCNA hub-gene GO dotplot helper,Supplementary hub-gene table,figureS8E_outputs
FigureS9A_T,R/figureS9_supplement.R,LN2 germinal-center maturity supplement panels,Reuse Figure 4 clonotype maturity and cell-type trend helpers,LN2 sample row and GC list,figureS9_outputs
FigureS10A_O,R/figureS10_supplement.R,Tonsil1 germinal-center maturity supplement panels,Reuse Figure 4 clonotype maturity and cell-type trend helpers,Tonsil1 sample row and GC list,figureS10_outputs
